place_name,category,district,latitude,longitude,short_description,image_url,popularity_score,maintenance_score,condition_label,safety_score,crowd_level,senior_friendly,child_friendly,tags,best_visit_time,google_search_query,reviews,sentiment_score,child_score,senior_score,safety_norm,condition_score,crowd_score,sentiment_norm,combined_text,relevance_score
Lepakshi Veerabhadra Temple,temple,Anantapur(near),14.7225,77.7199,Famous for hanging pillar and Vijayanagara-era sculptures (near Karnataka border).,https://source.unsplash.com/800x500/?Lepakshi,75,66,Moderate,78,Medium,6,5,"temple,hang-pillar",Oct-Feb,Lepakshi Temple,Hanging pillar fascinating|Intricate carvings|Short visit|Good guides|Cultural,0.74,0.5555555555555556,0.6666666666666666,0.4,0.5,0.5,0.74,"temple,hang-pillar Hanging pillar fascinating|Intricate carvings|Short visit|Good guides|Cultural Famous for hanging pillar and Vijayanagara-era sculptures (near Karnataka border). temple Anantapur(near)",0.513
Hoysala Temples - Belur & Halebidu (pair),heritage,Hassan,13.1626,75.8536,Two nearby Hoysala towns with exquisitely carved temples; art and history hub.,https://source.unsplash.com/800x500/?Belur%20Halebidu,83,77,Good,85,Medium,7,6,"hoysala,temple",Oct-Feb,Belur Halebidu Temples,Sculptures stunning|Close together|Calm|Great for study|Guided tours,0.82,0.6666666666666666,0.7777777777777778,0.75,0.8,0.5,0.82,"hoysala,temple Sculptures stunning|Close together|Calm|Great for study|Guided tours Two nearby Hoysala towns with exquisitely carved temples; art and history hub. heritage Hassan",0.7495555555555556
Bijapur Ibrahim Rauza,heritage,Vijayapura,16.8266,75.72,"Beautiful tomb and mosque complex, often compared to Taj for its symmetry.",https://source.unsplash.com/800x500/?Ibrahim%20Rauza,75,65,Moderate,78,Low,6,5,"tomb,heritage",Oct-Feb,Ibrahim Rauza Bijapur,Serene place|Symmetry impressive|Low crowd|Nice architecture|Peaceful,0.76,0.5555555555555556,0.6666666666666666,0.4,0.5,1.0,0.76,"tomb,heritage Serene place|Symmetry impressive|Low crowd|Nice architecture|Peaceful Beautiful tomb and mosque complex, often compared to Taj for its symmetry. heritage Vijayapura",0.5670000000000001
Dolphin's Nose (Coorg viewpoint),viewpoint,Kodagu,12.434,75.684,Prominent viewpoint with dramatic cliffs and misty valleys in Coorg.,https://source.unsplash.com/800x500/?Coorg%20viewpoint,80,66,Good,76,Medium,6,7,"viewpoint,coorg",Oct-Feb,Dolphin's Nose Coorg,Spectacular view|Best sunrise|Requires short trek|Cool weather|Crowded weekends,0.8,0.7777777777777778,0.6666666666666666,0.3,0.8,0.5,0.8,"viewpoint,coorg Spectacular view|Best sunrise|Requires short trek|Cool weather|Crowded weekends Prominent viewpoint with dramatic cliffs and misty valleys in Coorg. viewpoint Kodagu",0.5666666666666667
Nandi Temple (Nandi Hills),temple,Chikkaballapur,13.3719,77.6835,Historic temple atop Nandi Hills with panoramic views.,https://source.unsplash.com/800x500/?Nandi%20Temple,82,64,Moderate,84,High,7,6,"temple,nandi",Sep-Mar,Nandi Temple Nandi Hills,Sunrise view great|Crowded|Short walk|Food stalls around|Good for mornings,0.81,0.6666666666666666,0.7777777777777778,0.7,0.5,0.2,0.81,"temple,nandi Sunrise view great|Crowded|Short walk|Food stalls around|Good for mornings Historic temple atop Nandi Hills with panoramic views. temple Chikkaballapur",0.6225555555555555
Talakad (sand-covered temples),heritage,Mysuru,12.191,76.689,Group of buried temples on Kaveri riverbed with unique sand burial history.,https://source.unsplash.com/800x500/?Talakad,73,58,Moderate,70,Low,5,4,"heritage,buried-temples",Oct-Feb,Talakad Karnataka,Interesting history|Sparse facilities|Unique site|Best with guide|Quiet,0.7,0.4444444444444444,0.5555555555555556,0.0,0.5,1.0,0.7,"heritage,buried-temples Interesting history|Sparse facilities|Unique site|Best with guide|Quiet Group of buried temples on Kaveri riverbed with unique sand burial history. heritage Mysuru",0.3894444444444444
Kundadri Hill,viewpoint,Dakshina Kannada,13.229,75.561,Granite hill with ancient Jain basadis and panoramic views.,https://source.unsplash.com/800x500/?Kundadri,68,60,Moderate,74,Low,6,5,"hill,jain",Oct-Feb,Kundadri Hill,Peaceful place|Bit of climb|Nice views|Quiet visit|Good for solitude,0.68,0.5555555555555556,0.6666666666666666,0.2,0.5,1.0,0.68,"hill,jain Peaceful place|Bit of climb|Nice views|Quiet visit|Good for solitude Granite hill with ancient Jain basadis and panoramic views. viewpoint Dakshina Kannada",0.47100000000000003
Nallur (Hoysala site),heritage,Hassan,13.02,75.8,Lesser-known Hoysala-era temple complex with fine carvings.,https://source.unsplash.com/800x500/?Hoysala%20temple,66,57,Moderate,72,Low,6,5,"hoysala,heritage",Oct-Feb,Nallur Hoysala Temple,Hidden gem|Not crowded|Great carvings|Limited amenities|Calm,0.66,0.5555555555555556,0.6666666666666666,0.1,0.5,1.0,0.66,"hoysala,heritage Hidden gem|Not crowded|Great carvings|Limited amenities|Calm Lesser-known Hoysala-era temple complex with fine carvings. heritage Hassan",0.427
Yana Caves,viewpoint,Uttara Kannada,14.9715,74.5909,Karst rock formations and caves popular for trekking and unique geology.,https://source.unsplash.com/800x500/?Yana%20Caves,79,63,Good,75,Medium,6,7,"cave,rock-formation",Oct-Feb,Yana Caves Karnataka,Striking rocks|Trek required|Scenic|Best during dry months|Good for hikers,0.78,0.7777777777777778,0.6666666666666666,0.25,0.8,0.5,0.78,"cave,rock-formation Striking rocks|Trek required|Scenic|Best during dry months|Good for hikers Karst rock formations and caves popular for trekking and unique geology. viewpoint Uttara Kannada",0.5426666666666667
Maravanthe Beach,beach,Udupi,13.624,74.395,Unique coastal stretch with a highway on one side and sea on the other.,https://source.unsplash.com/800x500/?Maravanthe%20Beach,77,58,Moderate,70,Medium,7,8,"beach,coast",Oct-Feb,Maravanthe Beach,Unique view|Great drive|Not many facilities|Peaceful|Nice sunset,0.75,0.8888888888888888,0.7777777777777778,0.0,0.5,0.5,0.75,"beach,coast Unique view|Great drive|Not many facilities|Peaceful|Nice sunset Unique coastal stretch with a highway on one side and sea on the other. beach Udupi",0.3672222222222222
St. Mary's Islands,beach,Udupi,13.4576,74.72,Geologically-formed columnar basaltic lava islands accessible by boat.,https://source.unsplash.com/800x500/?St%20Mary%20Islands,76,60,Moderate,72,Seasonal,7,8,"island,basalt",Oct-Feb,St. Mary's Islands,Interesting geology|Boat ride needed|Clear waters|Crowded season|Great photos,0.76,0.8888888888888888,0.7777777777777778,0.1,0.5,0.7,0.76,"island,basalt Interesting geology|Boat ride needed|Clear waters|Crowded season|Great photos Geologically-formed columnar basaltic lava islands accessible by boat. beach Udupi",0.4292222222222223
Manjira Bird Sanctuary,wildlife,,17.0,77.0,(Note: placeholder) small wetland bird area — verify exact place before final.,https://source.unsplash.com/800x500/?Bird%20sanctuary,60,50,Moderate,60,Low,7,7,"bird,wetland",Nov-Mar,Manjira Bird Sanctuary Karnataka,Nice birds|Limited amenities|Ideal for birders|Quiet|Check access,0.6,0.7777777777777778,0.7777777777777778,-0.5,0.5,1.0,0.6,,0.18388888888888888
Bheemeshwari (fishing & adventure),adventure,Ramanagara,12.875,77.1,"River island with angling, coracle rides and adventure options.",https://source.unsplash.com/800x500/?Bheemeshwari,81,70,Good,77,Medium,7,8,"adventure,river",Oct-Feb,Bheemeshwari Karnataka,Good for fishing|Coracle ride fun|Relaxing|Family spot|Guides available,0.79,0.8888888888888888,0.7777777777777778,0.35,0.8,0.5,0.79,"adventure,river Good for fishing|Coracle ride fun|Relaxing|Family spot|Guides available River island with angling, coracle rides and adventure options. adventure Ramanagara",0.5902222222222222
Shree Sonda (ancient temple),temple, Uttara Kannada,14.0,74.5,Ancient temple complex (verify exact local name); regional pilgrimage spot.,https://source.unsplash.com/800x500/?Sonda%20Temple,62,56,Moderate,70,Low,6,5,"temple,regional",Oct-Feb,Sonda Temple Karnataka,Quiet temple|Local importance|Limited tourist infrastructure|Serene,0.62,0.5555555555555556,0.6666666666666666,0.0,0.5,1.0,0.62,"temple,regional Quiet temple|Local importance|Limited tourist infrastructure|Serene Ancient temple complex (verify exact local name); regional pilgrimage spot. temple  Uttara Kannada",0.37899999999999995
Kukke Subramanya,temple,Subramanya,12.579,75.106,Temple near Western Ghats famous for serpent worship and rituals.,https://source.unsplash.com/800x500/?Kukke%20Subramanya,85,68,Good,86,High,6,5,"temple,serpent",Oct-Feb,Kukke Subramanya Temple,Devotional place|Pilgrimage crowd|Unique rituals|Must visit for devotees,0.83,0.5555555555555556,0.6666666666666666,0.8,0.8,0.2,0.83,"temple,serpent Devotional place|Pilgrimage crowd|Unique rituals|Must visit for devotees Temple near Western Ghats famous for serpent worship and rituals. temple Subramanya",0.7360000000000001
Agumbe Sunset Point,viewpoint,Shivamogga,13.5096,75.0957,Rainforest region known as the 'Cherrapunji of South India' with stunning sunsets.,https://source.unsplash.com/800x500/?Agumbe,82,68,Good,78,Medium,6,7,"agumbe,viewpoint",Oct-Feb,Agumbe Sunset Point,Great sunset|Foggy sometimes|Beautiful valley|Monkeys around|Nice drive,0.81,0.7777777777777778,0.6666666666666666,0.4,0.8,0.5,0.81,"agumbe,viewpoint Great sunset|Foggy sometimes|Beautiful valley|Monkeys around|Nice drive Rainforest region known as the 'Cherrapunji of South India' with stunning sunsets. viewpoint Shivamogga",0.6086666666666667
Kemmangundi,hill_station,Chikkamagaluru,13.5591,75.7694,"Hill station with gardens, viewpoints, and trekking routes.",https://source.unsplash.com/800x500/?Kemmangundi,84,66,Moderate,75,Medium,6,7,"hill-station,garden",Oct-Mar,Kemmangundi,Great climate|Nice trek|Some rough roads|Scenic|Peaceful,0.79,0.7777777777777778,0.6666666666666666,0.25,0.5,0.5,0.79,"hill-station,garden Great climate|Nice trek|Some rough roads|Scenic|Peaceful Hill station with gardens, viewpoints, and trekking routes. hill_station Chikkamagaluru",0.4696666666666666
Hebbe Falls,waterfall,Chikkamagaluru,13.5262,75.7616,Two-stage waterfall accessed via jeep trail through thick forests.,https://source.unsplash.com/800x500/?Hebbe%20Falls,83,62,Moderate,72,Medium,5,7,"waterfall,forest",Jun-Sep,Hebbe Falls,Amazing falls|Jeep ride fun|Slippery rocks|Crowded weekends|Cool weather,0.78,0.7777777777777778,0.5555555555555556,0.1,0.5,0.5,0.78,"waterfall,forest Amazing falls|Jeep ride fun|Slippery rocks|Crowded weekends|Cool weather Two-stage waterfall accessed via jeep trail through thick forests. waterfall Chikkamagaluru",0.4054444444444445
Sirsi Marikamba Temple,temple,Uttara Kannada,14.619,74.837,"Historic temple dedicated to goddess Marikamba, known for its large fairs.",https://source.unsplash.com/800x500/?Sirsi%20Temple,74,70,Good,83,High,7,6,"temple,sirsi",Oct-Feb,Sirsi Marikamba Temple,Festive atmosphere|Big crowds|Well maintained|Divine|Colorful,0.82,0.6666666666666666,0.7777777777777778,0.65,0.8,0.2,0.82,"temple,sirsi Festive atmosphere|Big crowds|Well maintained|Divine|Colorful Historic temple dedicated to goddess Marikamba, known for its large fairs. temple Uttara Kannada",0.6795555555555556
Ramapura Dam Backwaters,nature,Chikkamagaluru,13.3,75.68,"Scenic backwater area with silence, greenery and boating.",https://source.unsplash.com/800x500/?Backwaters,69,60,Good,76,Low,7,8,"backwater,nature",Oct-Mar,Ramapura Backwaters,Peaceful|Beautiful views|Good for photos|Limited shops|Relaxing,0.74,0.8888888888888888,0.7777777777777778,0.3,0.8,1.0,0.74,"backwater,nature Peaceful|Beautiful views|Good for photos|Limited shops|Relaxing Scenic backwater area with silence, greenery and boating. nature Chikkamagaluru",0.6102222222222221
Shivagange,viewpoint,Tumakuru,13.0971,77.231,"Popular hill shaped like a shiva linga, known for trekking and temples.",https://source.unsplash.com/800x500/?Shivagange,77,64,Moderate,74,High,5,5,"hill,trek,temple",Oct-Feb,Shivagange,Steep climb|Great views|Monkeys trouble|Spiritual place|Challenging,0.77,0.5555555555555556,0.5555555555555556,0.2,0.5,0.2,0.77,"hill,trek,temple Steep climb|Great views|Monkeys trouble|Spiritual place|Challenging Popular hill shaped like a shiva linga, known for trekking and temples. viewpoint Tumakuru",0.40677777777777785
Antaragange Caves,cave,Kolar,13.133,78.129,"Volcanic rock formations, caves, and night trekking hotspot.",https://source.unsplash.com/800x500/?Antaragange,76,60,Moderate,72,Medium,5,6,"cave,trek",Oct-Mar,Antaragange Caves,Good trek|Rocks unique|Monkeys|Nice sunrise|Adventurous,0.75,0.6666666666666666,0.5555555555555556,0.1,0.5,0.5,0.75,"cave,trek Good trek|Rocks unique|Monkeys|Nice sunrise|Adventurous Volcanic rock formations, caves, and night trekking hotspot. cave Kolar",0.3961111111111112
Savandurga Hill,viewpoint,Ramanagara,12.9181,77.2926,One of Asia’s largest monolith hills; popular for trekking.,https://source.unsplash.com/800x500/?Savandurga,80,62,Moderate,70,High,5,6,"hill,trek,monolith",Nov-Feb,Savandurga Hill,Tiring trek|Great views|Hot afternoon|Adventure|Best early morning,0.76,0.6666666666666666,0.5555555555555556,0.0,0.5,0.2,0.76,"hill,trek,monolith Tiring trek|Great views|Hot afternoon|Adventure|Best early morning One of Asia’s largest monolith hills; popular for trekking. viewpoint Ramanagara",0.3281111111111112
Manchanabele Dam,nature,Ramanagara,12.888,77.299,Large reservoir surrounded by hills—known for sunset views.,https://source.unsplash.com/800x500/?Manchanabele,71,59,Moderate,72,Medium,7,8,"dam,reservoir",Oct-Mar,Manchanabele Dam,Nice sunset|Restricted swimming|Quiet|Great drive|Scenic,0.72,0.8888888888888888,0.7777777777777778,0.1,0.5,0.5,0.72,"dam,reservoir Nice sunset|Restricted swimming|Quiet|Great drive|Scenic Large reservoir surrounded by hills—known for sunset views. nature Ramanagara",0.4012222222222222
Hesaraghatta Lake,nature,Bengaluru,13.139,77.478,"Dry lakebed area used for film shoots, birding and photography.",https://source.unsplash.com/800x500/?Hesaraghatta,70,54,Moderate,70,Low,7,6,"lake,birding",Nov-Feb,Hesaraghatta Lake,Serene|Good photos|Dry in summer|Open land|Nice views,0.7,0.6666666666666666,0.7777777777777778,0.0,0.5,1.0,0.7,"lake,birding Serene|Good photos|Dry in summer|Open land|Nice views Dry lakebed area used for film shoots, birding and photography. nature Bengaluru",0.40055555555555555
Freedom Park,museum,Bengaluru,12.9795,77.5737,Old Central Jail turned urban cultural space.,https://source.unsplash.com/800x500/?Bangalore%20Park,62,60,Good,80,Medium,8,8,"park,museum",Year-round,Freedom Park Bangalore,Good park|Open spaces|Historic jail|Family place|Calm,0.71,0.8888888888888888,0.8888888888888888,0.5,0.8,0.5,0.71,"park,museum Good park|Open spaces|Historic jail|Family place|Calm Old Central Jail turned urban cultural space. museum Bengaluru",0.6364444444444445
